,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
8443,2016-09-08,0 days 18:11:00,5.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8451,2016-09-09,0 days 18:17:00,8.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8459,2016-09-09,0 days 17:43:00,28.55,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8462,2016-09-12,0 days 17:03:00,9.983,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8493,2016-09-09,0 days 15:00:00,13.517,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8514,2016-09-09,0 days 17:20:00,19.6,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8526,2016-09-08,0 days 18:17:00,7.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8530,2016-09-09,0 days 18:04:00,4.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8531,2016-09-05,0 days 08:24:00,9.55,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8571,2016-09-08,0 days 17:31:00,11.617,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8575,2016-09-09,0 days 18:09:00,7.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8585,2016-09-09,0 days 18:02:00,3.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8597,2016-09-09,0 days 15:58:00,5.533,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8613,2016-09-08,0 days 09:03:00,39.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8624,2016-09-08,0 days 07:14:00,36.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8637,2016-09-09,0 days 17:17:00,4.583,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8652,2016-09-01,0 days 17:18:00,41.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8680,2016-09-07,0 days 17:20:00,5.567,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
8684,2016-09-08,0 days 08:43:00,12.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8690,2016-09-08,0 days 08:26:00,9.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8695,2016-09-06,0 days 18:05:00,1.55,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8701,2016-09-09,0 days 17:10:00,4.583,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8739,2016-09-01,0 days 17:39:00,30.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8751,2016-09-05,0 days 17:02:00,26.617,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8753,2016-09-06,0 days 08:49:00,20.567,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8758,2016-09-06,0 days 08:37:00,3.6,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8769,2016-09-01,0 days 17:30:00,5.583,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8793,2016-09-02,0 days 16:13:00,2.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8818,2016-09-02,0 days 16:51:00,78.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8821,2016-09-02,0 days 16:13:00,24.583,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8836,2016-09-01,0 days 18:10:00,9.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8846,2016-09-01,0 days 17:18:00,11.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8849,2016-09-02,0 days 16:22:00,26.583,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8854,2016-09-05,0 days 16:37:00,2.55,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8855,2016-09-02,0 days 16:13:00,26.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8857,2016-09-01,0 days 16:36:00,12.617,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8865,2016-09-05,0 days 16:49:00,8.55,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8871,2016-09-01,0 days 17:22:00,3.417,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8894,2016-09-02,0 days 16:36:00,34.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8904,2016-09-02,0 days 17:35:00,1.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8910,2016-09-06,0 days 16:29:00,1.25,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8923,2016-09-02,0 days 17:00:00,58.6,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8925,2016-09-01,0 days 17:23:00,6.6,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8955,2016-09-06,0 days 17:00:00,65.533,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8976,2016-09-01,0 days 08:58:00,1.567,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9001,2016-09-06,0 days 17:23:00,4.6,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
9047,2016-09-05,0 days 07:39:00,14.567,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
9082,2016-09-05,0 days 08:14:00,15.583,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
9086,2016-09-01,0 days 07:51:00,9.533,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9087,2016-09-02,0 days 17:00:00,15.583,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9089,2016-09-06,0 days 18:26:00,22.517,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
9095,2016-09-02,0 days 18:03:00,0.55,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9104,2016-09-08,0 days 18:41:00,18.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9107,2016-09-12,0 days 17:18:00,5.033,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
9121,2016-09-08,0 days 18:10:00,7.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9138,2016-09-09,0 days 16:48:00,10.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9146,2016-09-09,0 days 16:55:00,0.6,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9153,2016-09-09,0 days 16:11:00,41.583,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9155,2016-09-01,0 days 08:03:00,30.55,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9167,2016-09-06,0 days 08:25:00,14.667,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
9168,2016-09-09,0 days 17:18:00,3.583,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9188,2016-09-09,0 days 16:57:00,8.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9197,2016-09-12,0 days 17:03:00,42.983,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
9202,2016-09-08,0 days 17:32:00,5.0,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
9207,2016-09-12,0 days 16:50:00,96.9,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
9215,2016-09-09,0 days 17:50:00,3.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9221,2016-09-02,0 days 17:00:00,4.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
9226,2016-09-09,0 days 16:01:00,45.583,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
